user_id,recomendations
1,"[874972, 1132231, 976335, 1062002, 940947]"
2,"[874972, 960791, 1044759, 947798, 940947]"
3,"[874972, 827683, 1133018, 13842214, 989069]"
4,"[874972, 1029743, 1082185, 1127831, 951590]"
5,"[874972, 1029743, 1082185, 1127831, 951590]"
6,"[12384953, 960791, 1016276, 1119051, 986912]"
7,"[874972, 873044, 859987, 5591154, 1122358]"
8,"[874972, 1026209, 1021519, 867138, 1062002]"
9,"[874972, 918046, 995242, 1056005, 883404]"
10,"[874972, 986912, 1106523, 1043766, 1029743]"
11,"[874972, 1029743, 1082185, 1127831, 951590]"
12,"[874972, 1029743, 1127831, 1082185, 951590]"
13,"[874972, 12427353, 8090539, 1038985, 862070]"
14,"[1015785, 985893, 921836, 1127758, 1121384]"
15,"[874972, 1098844, 10341697, 1070820, 901666]"
16,"[874972, 12263788, 1029743, 1082185, 1106523]"
17,"[874972, 951590, 981760, 1029743, 1082185]"
18,"[878715, 904813, 5568729, 9677886, 1053628]"
19,"[874972, 882604, 893501, 962229, 999104]"
20,"[874972, 911614, 897954, 1075368, 1126899]"
21,"[874972, 947798, 1058997, 6979579, 9419525]"
22,"[956599, 881047, 859427, 1070820, 944836]"
23,"[1034176, 12648296, 1029743, 1082185, 1106523]"
24,"[844462, 914318, 1055168, 1036501, 1106523]"
25,"[874972, 1133018, 904574, 929018, 8090521]"
26,"[874972, 960791, 1081189, 905072, 1106301]"
27,"[874972, 1082185, 996425, 963686, 986912]"
28,"[948670, 921836, 1119051, 943233, 878996]"
29,"[874972, 1029743, 1082185, 1106523, 1127831]"
30,"[874972, 995242, 1029743, 1082185, 1106523]"
31,"[860248, 1082990, 1127232, 1126899, 898847]"
32,"[874972, 843111, 1058997, 1009449, 992986]"
33,"[836445, 1106301, 5981267, 5592094, 8357613]"
34,"[874972, 1101010, 952317, 1044805, 993638]"
35,"[874972, 1053690, 1029743, 1082185, 1106523]"
36,"[874972, 1066725, 997988, 962229, 1062002]"
37,"[874972, 1122358, 904813, 1067695, 1046689]"
38,"[874972, 1029743, 1127831, 1082185, 951590]"
39,"[874972, 965982, 12782182, 1127716, 13008321]"
40,"[874972, 939636, 932503, 1083043, 9913338]"
41,"[874972, 845307, 865705, 5585510, 847139]"
42,"[874972, 928123, 963686, 839656, 1112766]"
43,"[874972, 1095068, 821787, 1029743, 1082185]"
44,"[874972, 1082185, 1106523, 1127831, 951590]"
45,"[874972, 1029743, 1082185, 1127831, 951590]"
46,"[1108094, 902856, 5572738, 999104, 8090532]"
47,"[9677366, 1040935, 907308, 1126252, 9487606]"
48,"[874972, 1029743, 1082185, 1127831, 951590]"
49,"[12731432, 6602697, 1058997, 1028715, 1074333]"
50,"[874972, 1093603, 962229, 9655528, 1048483]"
51,"[874972, 1088147, 880427, 867469, 1072523]"
52,"[874972, 898847, 1115553, 5569230, 1093113]"
53,"[874972, 825882, 820291, 5569471, 939546]"
54,"[874972, 1029743, 1082185, 1127831, 951590]"
55,"[874972, 1077373, 1078763, 844165, 995242]"
56,"[904997, 922561, 1119051, 1058997, 6464165]"
57,"[874972, 1065593, 9676866, 1011141, 9297062]"
58,"[995151, 10457044, 934399, 1070820, 999639]"
59,"[874972, 937928, 10150194, 1133018, 838097]"
60,"[874972, 1029743, 1082185, 1127831, 951590]"
61,"[874972, 1029743, 1082185, 1127831, 951590]"
62,"[874972, 1029743, 1082185, 1106523, 1127831]"
63,"[874972, 970619, 1029743, 1082185, 1106523]"
64,"[982469, 901460, 996425, 1138189, 1065593]"
65,"[874972, 5568378, 986912, 965766, 1029743]"
66,"[874972, 1082185, 1106523, 1127831, 951590]"
67,"[1118946, 926905, 832976, 835243, 1102927]"
68,"[874972, 901460, 946977, 1082990, 947798]"
69,"[874972, 842707, 983659, 956486, 5574409]"
70,"[874972, 1039156, 1029743, 1082185, 1106523]"
71,"[874972, 865511, 13841744, 926905, 1101010]"
72,"[874972, 1029743, 1082185, 1106523, 1127831]"
73,"[874972, 1029743, 951590, 1082185, 1127831]"
74,"[874972, 1029743, 1082185, 1127831, 951590]"
75,"[874972, 1029743, 1082185, 1106523, 1127831]"
76,"[874972, 1029743, 1082185, 1127831, 951590]"
77,"[874972, 1127758, 948832, 1126899, 873964]"
78,"[874972, 1104349, 6533681, 1039627, 995055]"
79,"[874972, 7441498, 921504, 1053690, 862349]"
80,"[874972, 9926758, 854900, 986912, 828331]"
81,"[874972, 916381, 1076769, 995242, 1000050]"
82,"[874972, 929726, 1119761, 1029743, 1082185]"
83,"[874972, 1075214, 840361, 1029743, 1082185]"
84,"[874972, 5565369, 830887, 1029743, 1082185]"
85,"[874972, 840386, 12385374, 1139782, 14106445]"
86,"[874972, 971922, 1101010, 1106523, 951590]"
87,"[874972, 965963, 8293385, 1029743, 1082185]"
88,"[874972, 1070820, 916993, 13115914, 8090521]"
89,"[874972, 1029743, 951590, 1082185, 1127831]"
90,"[874972, 923789, 879393, 1070820, 923149]"
91,"[874972, 1088147, 1029743, 1113667, 838637]"
92,"[874972, 6979005, 1080853, 1068832, 5568721]"
93,"[874972, 1029743, 1082185, 1127831, 951590]"
94,"[874972, 1076580, 1013641, 12130522, 866211]"
95,"[874972, 835279, 910673, 922561, 8090519]"
96,"[874972, 1082185, 951590, 1029743, 1127831]"
97,"[874972, 952408, 1122358, 1075368, 1016800]"
98,"[874972, 879755, 1058997, 847241, 1012913]"
99,"[874972, 898601, 863885, 10457044, 5587656]"
100,"[863762, 1111786, 851287, 1116096, 891752]"
101,"[12731432, 821083, 862349, 8090521, 1056509]"
102,"[874972, 1029743, 1082185, 1127831, 951590]"
103,"[874972, 1029743, 1082185, 1106523, 1127831]"
104,"[906335, 1074333, 893501, 8090536, 1011300]"
105,"[874972, 5570408, 960253, 879755, 941741]"
106,"[874972, 1093413, 1005456, 8090521, 1092303]"
107,"[874972, 1037840, 916381, 1029743, 1082185]"
108,"[874972, 1106523, 951590, 1082185, 1127831]"
109,"[874972, 13842214, 919535, 1046756, 1053875]"
110,"[874972, 1119089, 1031833, 1127758, 844165]"
111,"[874972, 8090536, 840601, 6602327, 12811532]"
112,"[874972, 7168026, 12384177, 1029743, 1082185]"
113,"[874972, 6979518, 8203451, 7410071, 1031864]"
114,"[874972, 1116096, 925425, 5568489, 1046689]"
115,"[947858, 836286, 7410290, 989275, 918598]"
116,"[874972, 923746, 850058, 1037863, 1029743]"
117,"[874972, 1135460, 9420312, 962229, 1101932]"
118,"[9524291, 1023196, 9803601, 1058997, 1135460]"
119,"[874972, 999581, 960732, 1131488, 940947]"
120,"[874972, 1029743, 1082185, 1127831, 951590]"
121,"[874972, 8090537, 856060, 1035676, 1055168]"
122,"[874972, 9419525, 1035676, 7409971, 1053176]"
123,"[874972, 8090509, 898510, 1029743, 1128240]"
124,"[874972, 12263788, 1035676, 844179, 833025]"
125,"[874972, 9884484, 856252, 868764, 8090521]"
126,"[874972, 1019247, 962185, 898068, 1029743]"
127,"[874972, 5570408, 5585510, 1075368, 13842214]"
128,"[874972, 847241, 1026118, 969932, 1051516]"
129,"[874972, 1106523, 951590, 1082185, 1127831]"
130,"[874972, 1029743, 1082185, 1127831, 951590]"
131,"[874972, 903609, 1084968, 1026209, 1048068]"
132,"[874972, 1084968, 1126899, 1060673, 9926758]"
133,"[874972, 5582712, 6514160, 887102, 995242]"
134,"[874972, 862682, 6533362, 862335, 5592931]"
135,"[874972, 13115813, 879876, 852360, 826249]"
136,"[874972, 1060005, 1032512, 8090521, 1038462]"
137,"[874972, 1029743, 951590, 1082185, 1127831]"
138,"[874972, 912137, 9836106, 5569230, 1009449]"
139,"[12262830, 5569471, 860975, 879755, 1058997]"
140,"[874972, 832678, 951821, 914190, 5591083]"
141,"[874972, 1108854, 1048472, 1029743, 1082185]"
142,"[874972, 1138772, 1078741, 997011, 1074524]"
143,"[874972, 1127758, 978077, 1106523, 965766]"
144,"[874972, 1029743, 1127831, 1082185, 951590]"
145,"[874972, 1106523, 1127831, 1082185, 951590]"
146,"[874972, 845163, 1109948, 1127470, 1092149]"
147,"[874972, 1029743, 1082185, 1127831, 951590]"
148,"[874972, 1082185, 1106523, 1127831, 951590]"
149,"[874972, 1029743, 1044078, 1082185, 1127831]"
150,"[874972, 1029743, 1082185, 1127831, 951590]"
151,"[874972, 1005456, 824005, 1028473, 5569230]"
152,"[874972, 1029743, 1082185, 1127831, 951590]"
153,"[874972, 909750, 853643, 1062128, 879393]"
154,"[874972, 1029743, 1082185, 1127831, 951590]"
155,"[874972, 1082185, 1106523, 1127831, 951590]"
156,"[874972, 1057260, 5591154, 976214, 5567502]"
157,"[874972, 916122, 826249, 1126899, 12524174]"
158,"[874972, 834826, 1082185, 862349, 12731714]"
159,"[874972, 9420312, 1106301, 1050851, 1087102]"
160,"[899019, 862349, 900586, 1101010, 1020962]"
161,"[917384, 1119051, 916381, 9677202, 843464]"
162,"[874972, 894447, 902856, 1070820, 1031906]"
163,"[874972, 1029743, 1082185, 1127831, 951590]"
164,"[874972, 908283, 971949, 888054, 1004555]"
165,"[874972, 1029743, 951590, 1082185, 1127831]"
166,"[874972, 995242, 1023196, 1053690, 845319]"
167,"[874972, 1085435, 953180, 1042765, 1009046]"
168,"[874972, 921504, 878996, 1018050, 1029743]"
169,"[874972, 1037894, 12757316, 1099164, 1029743]"
170,"[874972, 1029743, 951590, 1082185, 1127831]"
171,"[933354, 9913338, 907625, 1029743, 1082185]"
172,"[874972, 1029743, 1082185, 1106523, 1127831]"
173,"[874972, 1029743, 1082185, 1127831, 951590]"
174,"[825343, 900586, 1128016, 5574409, 946995]"
175,"[874972, 1029743, 1082185, 1127831, 951590]"
176,"[874972, 1029743, 1082185, 1127831, 951590]"
177,"[874972, 1029743, 951590, 1082185, 1127831]"
178,"[874972, 1039156, 866043, 963686, 1110572]"
179,"[874972, 1029743, 1082185, 1127831, 951590]"
180,"[874972, 951590, 995242, 1082185, 1127831]"
181,"[874972, 1029743, 951590, 1082185, 1127831]"
182,"[874972, 1029743, 1082185, 1127831, 951590]"
183,"[874972, 883404, 15926712, 1029743, 1082185]"
184,"[848029, 916990, 912817, 997907, 945662]"
185,"[874972, 835243, 1101010, 870428, 983584]"
186,"[874972, 1029743, 1082185, 1127831, 951590]"
187,"[849202, 908531, 1055155, 971949, 961554]"
188,"[874972, 879755, 847982, 1029743, 1082185]"
189,"[874972, 1029743, 1082185, 1127831, 951590]"
190,"[874972, 942817, 825365, 1079228, 1029743]"
191,"[874972, 1015474, 1039156, 1029743, 1082185]"
192,"[874972, 9803601, 989157, 5569230, 1082212]"
193,"[1134483, 9420067, 1106523, 944139, 831712]"
194,"[874972, 825541, 923746, 1051468, 1034956]"
195,"[12262830, 1060005, 1053176, 9884484, 845193]"
196,"[970747, 1029743, 1082185, 1106523, 1127831]"
197,"[874972, 7462562, 1126899, 838186, 882830]"
198,"[836445, 907099, 8090653, 1075368, 965842]"
199,"[874972, 849843, 1029743, 1082185, 1106523]"
200,"[874972, 898601, 1058997, 909894, 1029743]"
201,"[874972, 989069, 844179, 847049, 1133018]"
202,"[1137346, 1019247, 1086740, 1013389, 999779]"
203,"[874972, 914190, 948384, 5569471, 1029743]"
204,"[874972, 5569230, 1053690, 9911484, 921504]"
205,"[933354, 934369, 904574, 1106523, 969866]"
206,"[874972, 1029743, 1082185, 1127831, 951590]"
207,"[874972, 1029743, 1082185, 1127831, 951590]"
208,"[874972, 951190, 826249, 879504, 885290]"
209,"[825343, 9338009, 977545, 8090532, 819978]"
210,"[12262778, 911470, 12301338, 910473, 1135868]"
211,"[874972, 1110572, 1004390, 962229, 998444]"
212,"[874972, 13842214, 847982, 1056509, 995242]"
213,"[1000753, 1102959, 1029743, 1082185, 1106523]"
214,"[874972, 1047769, 12782182, 944836, 849100]"
215,"[874972, 981760, 916122, 916993, 956813]"
216,"[874972, 6533936, 974204, 1029743, 1082185]"
217,"[1000753, 1046756, 845975, 1132789, 895930]"
218,"[969725, 1085604, 999714, 894439, 1074333]"
219,"[1034176, 1023196, 963835, 923670, 5569471]"
220,"[874972, 1132789, 1038462, 1016800, 995242]"
221,"[874972, 6534077, 937928, 12427353, 1133018]"
222,"[874972, 8069118, 9926758, 999779, 1058997]"
223,"[874972, 1029743, 1127831, 1082185, 951590]"
224,"[874972, 987122, 1102879, 1029743, 1082185]"
225,"[874972, 9420312, 829291, 849297, 902172]"
226,"[874972, 1029743, 1082185, 1106523, 1127831]"
227,"[874972, 1104604, 898601, 1125391, 890695]"
228,"[874972, 1101725, 1029743, 1082185, 1106523]"
229,"[874972, 1106523, 951590, 1082185, 1127831]"
230,"[874972, 845193, 856060, 1114597, 982790]"
231,"[874972, 1029743, 1082185, 1127831, 951590]"
232,"[1137346, 6534035, 870547, 1106523, 837270]"
233,"[833940, 934369, 859237, 5591154, 1078652]"
234,"[874972, 1029743, 1082185, 1127831, 951590]"
235,"[1110111, 911470, 823862, 1070820, 862732]"
236,"[874972, 857554, 829852, 1076056, 1029743]"
237,"[874972, 1029743, 1082185, 1127831, 951590]"
238,"[874972, 1029743, 1082185, 1127831, 951590]"
